Country,Subject Descriptor,Units,Scale,"Country/Series-specific Notes",2019,2020,2021
Kenya,"Inflation, end of period consumer prices",Percent change,,,5.82,4.5,5
Kenya,General government net lending/borrowing,Percent of GDP,,,-7.816,-7.715,-6.885
Kenya,Current account balance,Percent of GDP,,,-4.535,-4.555,-4.39
Kiribati,"Gross domestic product, constant prices",Percent change,,,2.297,0.001,2.216
Kiribati,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,0.251,0.253,0.264
Kiribati,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.585,-1.664,0.522
Kiribati,"Inflation, average consumer prices",Percent change,,,-1.881,1.808,1.728
Kiribati,"Inflation, end of period consumer prices",Percent change,,,-1.167,1.512,1.851
Kiribati,General government net lending/borrowing,Percent of GDP,,,8.795,-18.675,1.036
Kiribati,Current account balance,Percent of GDP,,,44.888,1.549,5.502
Korea,"Gross domestic product, constant prices",Percent change,,,2.033,-1.178,3.403
Korea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"2,320.50","2,307.72","2,432.78"
Korea,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.831,-1.315,3.321
Korea,"Inflation, average consumer prices",Percent change,,,0.383,0.27,0.449
Korea,"Inflation, end of period consumer prices",Percent change,,,0.738,-0.3,0.9
Korea,Unemployment rate,Percent of total labor force,,,3.783,4.5,4.5
Korea,General government net lending/borrowing,Percent of GDP,,,0.862,-1.842,-1.567
Korea,Current account balance,Percent of GDP,,,3.69,4.946,4.822
Kosovo,"Gross domestic product, constant prices",Percent change,,,4,-5,7.5
Kosovo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,22.128,21.155,23.185
Kosovo,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.586,-5.378,7.072
Kosovo,"Inflation, average consumer prices",Percent change,,,2.677,1.273,1.551
Kosovo,"Inflation, end of period consumer prices",Percent change,,,1.178,1.632,1.922
Kosovo,Unemployment rate,Percent of total labor force,,,25.7,n/a,n/a
Kosovo,General government net lending/borrowing,Percent of GDP,,,-2.845,-4.818,-2.714
Kosovo,Current account balance,Percent of GDP,,,-5.499,-7.401,-5.132
Kuwait,"Gross domestic product, constant prices",Percent change,,,0.734,-1.107,3.437
Kuwait,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,308.672,307.193,323.945
Kuwait,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.998,-3.79,0.631
Kuwait,"Inflation, average consumer prices",Percent change,,,1.1,0.5,2.3
Kuwait,"Inflation, end of period consumer prices",Percent change,,,1.498,0.6,2.5
Kuwait,General government net lending/borrowing,Percent of GDP,,,4.766,-11.326,-14.06
Kuwait,Current account balance,Percent of GDP,,,8.909,-10.242,-7.809
Kyrgyz Republic,"Gross domestic product, constant prices",Percent change,,,4.468,-4.044,7.985
Kyrgyz Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,26.082,25.187,27.728
Kyrgyz Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.309,-5.931,5.753
Kyrgyz Republic,"Inflation, average consumer prices",Percent change,,,1.136,10.611,7.174
Kyrgyz Republic,"Inflation, end of period consumer prices",Percent change,,,3.056,11.985,7.014
Kyrgyz Republic,Unemployment rate,Percent of total labor force,,,6.605,6.605,6.605
Kyrgyz Republic,General government net lending/borrowing,Percent of GDP,,,-0.139,-9.627,-6.43
Kyrgyz Republic,Current account balance,Percent of GDP,,,-9.123,-16.572,-11.014
Lao P.D.R.,"Gross domestic product, constant prices",Percent change,,,4.72,0.723,5.601
Lao P.D.R.,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,57.133,57.912,62.348
Lao P.D.R.,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.234,-0.707,4.102
Lao P.D.R.,"Inflation, average consumer prices",Percent change,,,3.324,6.5,4.9
Lao P.D.R.,"Inflation, end of period consumer prices",Percent change,,,6.287,6.3,3.5
Lao P.D.R.,General government net lending/borrowing,Percent of GDP,,,-5.147,-6.233,-5.522
Lao P.D.R.,Current account balance,Percent of GDP,,,-7.234,-10.89,-9.192
Latvia,"Gross domestic product, constant prices",Percent change,,,2.197,-8.608,8.285
Latvia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,59.475,54.7,60.387
Latvia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.505,-8.425,8.502
Latvia,"Inflation, average consumer prices",Percent change,,,2.747,-0.293,3.023
Latvia,"Inflation, end of period consumer prices",Percent change,,,2.137,0.496,2.446
Latvia,Unemployment rate,Percent of total labor force,,,6.318,8,6.3
Latvia,General government net lending/borrowing,Percent of GDP,,,-0.381,-5.169,-3.663
Latvia,Current account balance,Percent of GDP,,,-0.535,-2.161,-1.458
Lebanon,"Gross domestic product, constant prices",Percent change,,,-6.513,-12.019,n/a
Lebanon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,84.288,74.628,n/a
Lebanon,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-6.462,-11.629,n/a
Lebanon,"Inflation, average consumer prices",Percent change,,,2.895,17.002,n/a
Lebanon,"Inflation, end of period consumer prices",Percent change,,,6.96,17.458,n/a
Lebanon,General government net lending/borrowing,Percent of GDP,,,-10.7,-15.285,n/a
Lebanon,Current account balance,Percent of GDP,,,-20.619,-12.642,n/a
Lesotho,"Gross domestic product, constant prices",Percent change,,,1.196,-5.208,5.122
Lesotho,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,6.911,6.593,7.066
Lesotho,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.518,-5.844,3.864
Lesotho,"Inflation, average consumer prices",Percent change,,,5.2,3.6,3.6
Lesotho,"Inflation, end of period consumer prices",Percent change,,,4.3,3,4.2
Lesotho,General government net lending/borrowing,Percent of GDP,,,-3.828,-1.984,-7.033
Lesotho,Current account balance,Percent of GDP,,,-8.307,6.889,-8.204
Liberia,"Gross domestic product, constant prices",Percent change,,,-2.516,-2.501,4.025
Liberia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,6.278,6.16,6.533
Liberia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-4.949,-4.911,1.475
Liberia,"Inflation, average consumer prices",Percent change,,,26.969,13.829,13.5
Liberia,"Inflation, end of period consumer prices",Percent change,,,20.251,15,12
Liberia,General government net lending/borrowing,Percent of GDP,,,-5.384,-5.236,-4.109
Liberia,Current account balance,Percent of GDP,,,-22.315,-18.667,-19.717
Libya,"Gross domestic product, constant prices",Percent change,,,9.89,-58.662,80.656
Libya,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,83.54,34.753,64.007
Libya,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,8.803,-59.071,78.869
Libya,"Inflation, average consumer prices",Percent change,,,4.563,22.256,15.119
Libya,"Inflation, end of period consumer prices",Percent change,,,4.563,22.256,15.119
Libya,General government net lending/borrowing,Percent of GDP,,,8.783,-7.223,-19.083
Libya,Current account balance,Percent of GDP,,,-0.298,-6.584,-8.337
Lithuania,"Gross domestic product, constant prices",Percent change,,,3.914,-8.086,8.155
Lithuania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,103.014,95.286,105.066
Lithuania,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.594,-7.578,8.808
Lithuania,"Inflation, average consumer prices",Percent change,,,2.242,-0.254,1.67
Lithuania,"Inflation, end of period consumer prices",Percent change,,,2.73,-0.254,1.67
Lithuania,Unemployment rate,Percent of total labor force,,,6.3,8.9,8.1
Lithuania,General government net lending/borrowing,Percent of GDP,,,0.248,-7.629,-2.529
Lithuania,Current account balance,Percent of GDP,,,4.274,6.013,4.455
Luxembourg,"Gross domestic product, constant prices",Percent change,,,2.298,-4.898,4.846
Luxembourg,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,68.824,65.868,70.407
Luxembourg,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.317,-6.74,2.815
Luxembourg,"Inflation, average consumer prices",Percent change,,,1.654,0.705,1.478
Luxembourg,"Inflation, end of period consumer prices",Percent change,,,1.84,0.6,1.3
Luxembourg,Unemployment rate,Percent of total labor force,,,5.4,7.717,6.796
Luxembourg,General government net lending/borrowing,Percent of GDP,,,2.715,-2.768,0.236
Luxembourg,Current account balance,Percent of GDP,,,4.481,3.959,4.367
Macao SAR,"Gross domestic product, constant prices",Percent change,,,-4.711,-29.616,32.017
Macao SAR,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,75.76,53.662,72.224
Macao SAR,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-6.671,-30.996,29.555
Macao SAR,"Inflation, average consumer prices",Percent change,,,2.752,2,2.3
Macao SAR,"Inflation, end of period consumer prices",Percent change,,,2.561,2,2.3
Macao SAR,Unemployment rate,Percent of total labor force,,,1.725,1.975,1.825
Macao SAR,General government net lending/borrowing,Percent of GDP,,,15.325,2.745,14.465
Macao SAR,Current account balance,Percent of GDP,,,34.802,13.076,30.004
Madagascar,"Gross domestic product, constant prices",Percent change,,,4.758,0.39,5.014
Madagascar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,52.865,53.409,57.18
Madagascar,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.108,-2.12,2.421
Madagascar,"Inflation, average consumer prices",Percent change,,,5.623,5.5,6.5
Madagascar,"Inflation, end of period consumer prices",Percent change,,,3.975,6,5.9
Madagascar,General government net lending/borrowing,Percent of GDP,,,-1.419,-4.011,-4.802
Madagascar,Current account balance,Percent of GDP,,,-2.533,-2.88,-3.008
Malawi,"Gross domestic product, constant prices",Percent change,,,4.5,1,2.5
Malawi,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,25.157,25.57,26.72
Malawi,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.575,-1.827,-0.369
Malawi,"Inflation, average consumer prices",Percent change,,,9.378,14.011,10.708
Malawi,"Inflation, end of period consumer prices",Percent change,,,11.527,15.739,7.832
Malawi,General government net lending/borrowing,Percent of GDP,,,-6.363,-6.257,-5.182
Malawi,Current account balance,Percent of GDP,,,-17.188,-17.939,-17.902
Malaysia,"Gross domestic product, constant prices",Percent change,,,4.33,-1.7,9
Malaysia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,076.37","1,064.80","1,183.26"
Malaysia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.693,-2.941,7.625
Malaysia,"Inflation, average consumer prices",Percent change,,,0.663,0.106,2.792
Malaysia,"Inflation, end of period consumer prices",Percent change,,,0.991,0.106,2.792
Malaysia,Unemployment rate,Percent of total labor force,,,3.275,4.9,3.4
Malaysia,General government net lending/borrowing,Percent of GDP,,,-3.175,-4.2,-3.6
Malaysia,Current account balance,Percent of GDP,,,3.292,-0.099,1.728
Maldives,"Gross domestic product, constant prices",Percent change,,,5.657,-8.074,13.2
Maldives,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,8.474,7.839,9.047
Maldives,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.913,-9.592,11.332
Maldives,"Inflation, average consumer prices",Percent change,,,1.309,1.524,1.475
Maldives,"Inflation, end of period consumer prices",Percent change,,,1.305,1.405,2.118
Maldives,General government net lending/borrowing,Percent of GDP,,,-5.58,-11.987,-6.427
Maldives,Current account balance,Percent of GDP,,,-26.131,-23.135,-11.844
Mali,"Gross domestic product, constant prices",Percent change,,,5.1,1.532,4.133
Mali,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,47.411,48.443,51.428
Mali,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.054,-1.418,1.098
Mali,"Inflation, average consumer prices",Percent change,,,-0.591,0.569,1.5
Mali,"Inflation, end of period consumer prices",Percent change,,,-1.283,1.5,1.7
Mali,General government net lending/borrowing,Percent of GDP,,,-1.679,-5.811,-3.3
Mali,Current account balance,Percent of GDP,,,-4.195,-3.661,-3.857
Malta,"Gross domestic product, constant prices",Percent change,,,4.384,-2.814,7.018
Malta,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,23.001,22.496,24.544
Malta,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.424,-4.439,5.54
Malta,"Inflation, average consumer prices",Percent change,,,1.523,0.582,1.933
Malta,"Inflation, end of period consumer prices",Percent change,,,1.283,0.336,2.001
Malta,Unemployment rate,Percent of total labor force,,,3.425,5,4.4
Malta,General government net lending/borrowing,Percent of GDP,,,1.294,-7.227,-0.446
Malta,Current account balance,Percent of GDP,,,8.433,3.332,6.091
Marshall Islands,"Gross domestic product, constant prices",Percent change,,,2.411,-0.24,3.19
Marshall Islands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,0.21,0.211,0.222
Marshall Islands,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.8,-0.835,2.371
Marshall Islands,"Inflation, average consumer prices",Percent change,,,0.557,-0.871,2.245
Marshall Islands,"Inflation, end of period consumer prices",Percent change,,,0.557,-0.871,2.245
Marshall Islands,General government net lending/borrowing,Percent of GDP,,,1.986,0.34,-0.306
Marshall Islands,Current account balance,Percent of GDP,,,3.662,-0.891,-3.68
Mauritania,"Gross domestic product, constant prices",Percent change,,,5.861,-1.986,4.18
Mauritania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,25.456,25.109,26.669
Mauritania,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.549,-4.088,1.904
Mauritania,"Inflation, average consumer prices",Percent change,,,2.306,3.851,4.5
Mauritania,"Inflation, end of period consumer prices",Percent change,,,2.702,5,4
Mauritania,General government net lending/borrowing,Percent of GDP,,,2.754,-2.625,-0.185
Mauritania,Current account balance,Percent of GDP,,,-10.597,-17.349,-17.401
Mauritius,"Gross domestic product, constant prices",Percent change,,,3.482,-6.8,5.9
Mauritius,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,31.592,29.631,31.991
Mauritius,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.389,-6.828,5.92
Mauritius,"Inflation, average consumer prices",Percent change,,,0.454,4.684,6.967
Mauritius,"Inflation, end of period consumer prices",Percent change,,,0.879,8.5,5.643
Mauritius,Unemployment rate,Percent of total labor force,,,6.7,17,9
Mauritius,General government net lending/borrowing,Percent of GDP,,,-6.474,-10.558,-5.89
Mauritius,Current account balance,Percent of GDP,,,-5.808,-8.445,-7.913
Mexico,"Gross domestic product, constant prices",Percent change,,,-0.146,-6.63,3.024
Mexico,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"2,616.29","2,458.34","2,582.07"
Mexico,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.229,-7.613,1.973
Mexico,"Inflation, average consumer prices",Percent change,,,3.635,2.702,2.782
Mexico,"Inflation, end of period consumer prices",Percent change,,,2.829,2.435,3
Mexico,Unemployment rate,Percent of total labor force,,,3.268,5.327,3.51
Mexico,General government net lending/borrowing,Percent of GDP,,,-2.321,-4.2,-2.2
Mexico,Current account balance,Percent of GDP,,,-0.194,-0.28,-0.397
Micronesia,"Gross domestic product, constant prices",Percent change,,,1.183,-0.384,1.385
Micronesia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,0.362,0.363,0.376
Micronesia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.072,-0.494,1.274
Micronesia,"Inflation, average consumer prices",Percent change,,,1.756,1.951,2
Micronesia,"Inflation, end of period consumer prices",Percent change,,,1.756,1.951,2
Micronesia,General government net lending/borrowing,Percent of GDP,,,16.444,5.676,5.241
Micronesia,Current account balance,Percent of GDP,,,17.087,3.371,5.271
Moldova,"Gross domestic product, constant prices",Percent change,,,3.58,-3,4.1
Moldova,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,27.292,26.642,28.275
Moldova,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,5.459,-3,5.988
Moldova,"Inflation, average consumer prices",Percent change,,,4.849,2.778,2.255
Moldova,"Inflation, end of period consumer prices",Percent change,,,7.5,0.5,6
Moldova,Unemployment rate,Percent of total labor force,,,3.022,3.022,5
Moldova,General government net lending/borrowing,Percent of GDP,,,-1.515,-5.5,-3.3
Moldova,Current account balance,Percent of GDP,,,-8.853,-8.28,-10.079
Mongolia,"Gross domestic product, constant prices",Percent change,,,5.099,-1,8
Mongolia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,46.723,46.55,51.254
Mongolia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.093,-2.846,5.986
Mongolia,"Inflation, average consumer prices",Percent change,,,7.26,5.586,6.5
Mongolia,"Inflation, end of period consumer prices",Percent change,,,5.172,6,7
Mongolia,Unemployment rate,Percent of total labor force,,,7.02,6.318,5.686
Mongolia,General government net lending/borrowing,Percent of GDP,,,1.331,-5.252,-3.777
Mongolia,Current account balance,Percent of GDP,,,-12.379,-10.201,-10.477
Montenegro,"Gross domestic product, constant prices",Percent change,,,3.609,-8.976,6.472
Montenegro,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,12.608,11.549,12.537
Montenegro,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.542,-9.035,6.404
Montenegro,"Inflation, average consumer prices",Percent change,,,0.366,0.659,0.88
Montenegro,"Inflation, end of period consumer prices",Percent change,,,1.052,0.355,1.205
Montenegro,General government net lending/borrowing,Percent of GDP,,,-3.592,-10.849,-2.804
Montenegro,Current account balance,Percent of GDP,,,-15.143,-17.949,-13.975
Morocco,"Gross domestic product, constant prices",Percent change,,,2.203,-3.744,4.777
Morocco,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,327.251,317.001,338.62
Morocco,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.149,-4.721,3.735
Morocco,"Inflation, average consumer prices",Percent change,,,-0.048,0.3,1.3
Morocco,"Inflation, end of period consumer prices",Percent change,,,-0.304,0.3,1.3
Morocco,Unemployment rate,Percent of total labor force,,,9.2,12.5,10.5
Morocco,General government net lending/borrowing,Percent of GDP,,,-4.115,-7.109,-4.486
Morocco,Current account balance,Percent of GDP,,,-4.15,-7.79,-4.251
Mozambique,"Gross domestic product, constant prices",Percent change,,,2.224,2.2,4.7
Mozambique,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,44.716,45.99,49.091
Mozambique,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.459,-0.471,1.975
Mozambique,"Inflation, average consumer prices",Percent change,,,2.785,5.194,5.706
Mozambique,"Inflation, end of period consumer prices",Percent change,,,3.503,6,5.501
Mozambique,General government net lending/borrowing,Percent of GDP,,,-0.153,-7.739,-6.054
Mozambique,Current account balance,Percent of GDP,,,-42.227,-68.792,-74.001
Myanmar,"Gross domestic product, constant prices",Percent change,,,6.5,1.799,7.535
Myanmar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,357.339,366.079,401.34
Myanmar,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,5.728,1.098,6.83
Myanmar,"Inflation, average consumer prices",Percent change,,,8.627,6.19,6.267
Myanmar,"Inflation, end of period consumer prices",Percent change,,,9.511,5.431,6.107
Myanmar,Unemployment rate,Percent of total labor force,,,4,4,4
Myanmar,General government net lending/borrowing,Percent of GDP,,,-3.499,-4.687,-4.643
Myanmar,Current account balance,Percent of GDP,,,-2.002,-4.746,-3.854
Namibia,"Gross domestic product, constant prices",Percent change,,,-1.395,-2.484,3.196
Namibia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,26.76,26.261,27.629
Namibia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-3.233,-4.302,1.272
Namibia,"Inflation, average consumer prices",Percent change,,,3.721,2.432,3.163
Namibia,"Inflation, end of period consumer prices",Percent change,,,2.588,2.432,3.163
Namibia,General government net lending/borrowing,Percent of GDP,,,-4.689,-6.951,-7.212
Namibia,Current account balance,Percent of GDP,,,-2.288,-0.437,-1.042
Nauru,"Gross domestic product, constant prices",Percent change,,,0.959,-1.675,1.301
Nauru,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,0.125,0.124,0.128
Nauru,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,5.284,-3.561,-0.643
Nauru,"Inflation, average consumer prices",Percent change,,,3.893,1.5,1.7
Nauru,"Inflation, end of period consumer prices",Percent change,,,2.296,1.3,1.6
Nauru,General government net lending/borrowing,Percent of GDP,,,16.118,5.276,2.521
Nauru,Current account balance,Percent of GDP,,,5.018,5.195,2.713
Nepal,"Gross domestic product, constant prices",Percent change,,,7.051,2.509,4.975
Nepal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,94.383,97.365,104.202
Nepal,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,5.67,1.186,3.62
Nepal,"Inflation, average consumer prices",Percent change,,,4.639,6.71,6.749
Nepal,"Inflation, end of period consumer prices",Percent change,,,6.021,7.498,6
Nepal,General government net lending/borrowing,Percent of GDP,,,-4.561,-5.975,-4.995
Nepal,Current account balance,Percent of GDP,,,-7.718,-6.451,-6.156
Netherlands,"Gross domestic product, constant prices",Percent change,,,1.811,-7.493,2.983
Netherlands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,005.34",935.911,982.624
Netherlands,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.515,-7.761,2.686
Netherlands,"Inflation, average consumer prices",Percent change,,,2.673,0.495,1.154
Netherlands,"Inflation, end of period consumer prices",Percent change,,,2.817,0.825,1.254
Netherlands,Unemployment rate,Percent of total labor force,,,3.39,6.5,5
Netherlands,General government net lending/borrowing,Percent of GDP,,,1.659,-6.164,-2.136
Netherlands,Current account balance,Percent of GDP,,,10.865,9.006,9.384
New Zealand,"Gross domestic product, constant prices",Percent change,,,2.18,-7.212,5.941
New Zealand,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,208.744,194.919,210.525
New Zealand,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.731,-8.321,4.832
New Zealand,"Inflation, average consumer prices",Percent change,,,1.62,1.224,1.382
New Zealand,"Inflation, end of period consumer prices",Percent change,,,1.854,1.002,1.508
New Zealand,Unemployment rate,Percent of total labor force,,,4.05,9.223,6.814
New Zealand,General government net lending/borrowing,Percent of GDP,,,-1.619,-5.181,-3.388
New Zealand,Current account balance,Percent of GDP,,,-2.969,-4.515,-3.214
Nicaragua,"Gross domestic product, constant prices",Percent change,,,-3.879,-6,0
Nicaragua,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,34.875,32.991,33.634
Nicaragua,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-4.87,-5.547,-0.732
Nicaragua,"Inflation, average consumer prices",Percent change,,,5.376,4.474,3.956
Nicaragua,"Inflation, end of period consumer prices",Percent change,,,0,10.194,3.956
Nicaragua,Unemployment rate,Percent of total labor force,,,6.127,11.061,11.1
Nicaragua,General government net lending/borrowing,Percent of GDP,,,-0.403,-4.388,-5.222
Nicaragua,Current account balance,Percent of GDP,,,5.749,1.247,0.591
Niger,"Gross domestic product, constant prices",Percent change,,,5.829,0.953,8.113
Niger,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,34.659,35.211,38.81
Niger,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.888,-2.784,4.137
Niger,"Inflation, average consumer prices",Percent change,,,-2.52,4.4,1.7
Niger,"Inflation, end of period consumer prices",Percent change,,,-2.317,2.255,2
Niger,General government net lending/borrowing,Percent of GDP,,,-3.555,-4.196,-3.306
Niger,Current account balance,Percent of GDP,,,-13.239,-13.541,-16.589
Nigeria,"Gross domestic product, constant prices",Percent change,,,2.208,-3.41,2.365
Nigeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,215.39","1,181.40","1,232.91"
Nigeria,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.38,-5.835,-0.183
Nigeria,"Inflation, average consumer prices",Percent change,,,11.397,13.393,12.37
Nigeria,"Inflation, end of period consumer prices",Percent change,,,11.982,13.873,11.296
Nigeria,General government net lending/borrowing,Percent of GDP,,,-4.976,-6.421,-5.842
Nigeria,Current account balance,Percent of GDP,,,-3.797,-3.324,-2.513
North Macedonia,"Gross domestic product, constant prices",Percent change,,,3.551,-4,7
North Macedonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,34.694,33.517,36.563
North Macedonia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.471,-4,7
North Macedonia,"Inflation, average consumer prices",Percent change,,,0.766,-0.907,0.833
North Macedonia,"Inflation, end of period consumer prices",Percent change,,,0.434,-0.4,1
North Macedonia,Unemployment rate,Percent of total labor force,,,17.25,20.387,18.982
North Macedonia,General government net lending/borrowing,Percent of GDP,,,-1.954,-6.505,-3.052
North Macedonia,Current account balance,Percent of GDP,,,-2.765,-2.172,-1.305
Norway,"Gross domestic product, constant prices",Percent change,,,1.151,-6.269,2.949
Norway,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,407.412,384.298,403.344
Norway,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.531,-6.828,2.335
Norway,"Inflation, average consumer prices",Percent change,,,2.168,2.4,2.2
Norway,"Inflation, end of period consumer prices",Percent change,,,1.366,2.4,2.2
Norway,Unemployment rate,Percent of total labor force,,,3.728,13,7
Norway,General government net lending/borrowing,Percent of GDP,,,7.919,0.784,3.682
Norway,Current account balance,Percent of GDP,,,3.96,-1.314,0.089
Oman,"Gross domestic product, constant prices",Percent change,,,0.469,-2.844,2.972
Oman,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,204.762,200.203,210.173
Oman,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-2.493,-5.735,-0.121
Oman,"Inflation, average consumer prices",Percent change,,,0.134,1,3.4
Oman,"Inflation, end of period consumer prices",Percent change,,,0.134,1,3.4
Oman,General government net lending/borrowing,Percent of GDP,,,-6.952,-16.904,-14.823
Oman,Current account balance,Percent of GDP,,,-5.181,-14.188,-11.067
Pakistan,"Gross domestic product, constant prices",Percent change,,,3.294,-1.547,1.971
Pakistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,201.63","1,190.56","1,237.69"
Pakistan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.392,-3.36,0.093
Pakistan,"Inflation, average consumer prices",Percent change,,,6.738,11.12,7.997
Pakistan,"Inflation, end of period consumer prices",Percent change,,,8,9.758,7.353
Pakistan,Unemployment rate,Percent of total labor force,,,4.08,4.5,5.11
Pakistan,General government net lending/borrowing,Percent of GDP,,,-8.848,-9.197,-6.469
Pakistan,Current account balance,Percent of GDP,,,-4.955,-1.706,-2.359
Palau,"Gross domestic product, constant prices",Percent change,,,0.5,-11.949,14.44
Palau,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,0.289,0.256,0.299
Palau,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.515,-11.949,13.306
Palau,"Inflation, average consumer prices",Percent change,,,0.7,0.5,1.5
Palau,"Inflation, end of period consumer prices",Percent change,,,0.7,0.5,1.5
Palau,General government net lending/borrowing,Percent of GDP,,,1.907,-4.982,-2.513
Palau,Current account balance,Percent of GDP,,,-23.61,-30.674,-27.619
Panama,"Gross domestic product, constant prices",Percent change,,,3.006,-2.05,4.027
Panama,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,111.998,110.399,117.084
